CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;01/05/2022;1;0,047;;;R
ES0031405462253006LB0F;01/05/2022;2;0,04;;;R
ES0031405462253006LB0F;01/05/2022;3;0,063;;;R
ES0031405462253006LB0F;01/05/2022;4;0,03;;;R
ES0031405462253006LB0F;01/05/2022;5;0,058;;;R
ES0031405462253006LB0F;01/05/2022;6;0,056;;;R
ES0031405462253006LB0F;01/05/2022;7;0,029;;;R
ES0031405462253006LB0F;01/05/2022;8;0,069;;;R
ES0031405462253006LB0F;01/05/2022;9;0,03;;;R
ES0031405462253006LB0F;01/05/2022;10;0,058;;;R
ES0031405462253006LB0F;01/05/2022;11;0,05;;;R
ES0031405462253006LB0F;01/05/2022;12;0,035;;;R
ES0031405462253006LB0F;01/05/2022;13;0,07;;;R
ES0031405462253006LB0F;01/05/2022;14;0,021;;;R
ES0031405462253006LB0F;01/05/2022;15;0,063;;;R
ES0031405462253006LB0F;01/05/2022;16;0,052;;;R
ES0031405462253006LB0F;01/05/2022;17;0,04;;;R
ES0031405462253006LB0F;01/05/2022;18;0,068;;;R
ES0031405462253006LB0F;01/05/2022;19;0,021;;;R
ES0031405462253006LB0F;01/05/2022;20;0,061;;;R
ES0031405462253006LB0F;01/05/2022;21;0,058;;;R
ES0031405462253006LB0F;01/05/2022;22;0,025;;;R
ES0031405462253006LB0F;01/05/2022;23;0,067;;;R
ES0031405462253006LB0F;01/05/2022;24;0,043;;;R
ES0031405462253006LB0F;02/05/2022;1;0,044;;;R
ES0031405462253006LB0F;02/05/2022;2;0,108;;;R
ES0031405462253006LB0F;02/05/2022;3;0,042;;;R
ES0031405462253006LB0F;02/05/2022;4;0,075;;;R
ES0031405462253006LB0F;02/05/2022;5;0,067;;;R
ES0031405462253006LB0F;02/05/2022;6;0,041;;;R
ES0031405462253006LB0F;02/05/2022;7;0,08;;;R
ES0031405462253006LB0F;02/05/2022;8;0,16;;;R
ES0031405462253006LB0F;02/05/2022;9;0,067;;;R
ES0031405462253006LB0F;02/05/2022;10;0,13;;;R
ES0031405462253006LB0F;02/05/2022;11;0,033;;;R
ES0031405462253006LB0F;02/05/2022;12;0,372;;;R
ES0031405462253006LB0F;02/05/2022;13;0,081;;;R
ES0031405462253006LB0F;02/05/2022;14;0,069;;;R
ES0031405462253006LB0F;02/05/2022;15;0,064;;;R
ES0031405462253006LB0F;02/05/2022;16;0,079;;;R
ES0031405462253006LB0F;02/05/2022;17;0,042;;;R
ES0031405462253006LB0F;02/05/2022;18;0,079;;;R
ES0031405462253006LB0F;02/05/2022;19;0,087;;;R
ES0031405462253006LB0F;02/05/2022;20;0,096;;;R
ES0031405462253006LB0F;02/05/2022;21;0,112;;;R
ES0031405462253006LB0F;02/05/2022;22;0,071;;;R
ES0031405462253006LB0F;02/05/2022;23;0,049;;;R
ES0031405462253006LB0F;02/05/2022;24;0,075;;;R
ES0031405462253006LB0F;03/05/2022;1;0,079;;;R
ES0031405462253006LB0F;03/05/2022;2;0,061;;;R
ES0031405462253006LB0F;03/05/2022;3;0,081;;;R
ES0031405462253006LB0F;03/05/2022;4;0,035;;;R
ES0031405462253006LB0F;03/05/2022;5;0,082;;;R
ES0031405462253006LB0F;03/05/2022;6;0,058;;;R
ES0031405462253006LB0F;03/05/2022;7;0,055;;;R
ES0031405462253006LB0F;03/05/2022;8;0,2;;;R
ES0031405462253006LB0F;03/05/2022;9;0,136;;;R
ES0031405462253006LB0F;03/05/2022;10;0,092;;;R
ES0031405462253006LB0F;03/05/2022;11;0,281;;;R
